TABLE NO.  1
 ID          TIME        AMT         DV          MDV         IPRED       CWRES       IWRES       BQL         ROUTE       DV          PRED        RES         WRES
  5.0000E+00  1.2000E+01  0.0000E+00  1.7100E+00  0.0000E+00  1.0652E+00  0.0000E+00  8.8989E-01  0.0000E+00  2.0000E+00  1.7100E+00  1.2525E+00  0.0000E+00  0.0000E+00
  5.0000E+00  2.4000E+01  0.0000E+00  5.0000E-01  0.0000E+00  1.0234E-03  0.0000E+00  7.0947E+02  1.0000E+00  2.0000E+00  5.0000E-01  1.0000E+00  0.0000E+00  0.0000E+00
  6.0000E+00  0.0000E+00  2.1800E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  6.0000E+00  0.0000E+00  2.1800E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  6.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  6.0000E+00  2.5000E-01  0.0000E+00  0.0000E+00  0.0000E+00  2.3203E+00  0.0000E+00 -1.4700E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.4503E-01  0.0000E+00  0.0000E+00
  6.0000E+00  5.0000E-01  0.0000E+00  1.3900E+00  0.0000E+00  3.7038E+00  0.0000E+00 -9.1833E-01  0.0000E+00  1.0000E+00  1.3900E+00  5.6928E+00  0.0000E+00  0.0000E+00
  6.0000E+00  1.0000E+00  0.0000E+00  9.5800E+00  0.0000E+00  5.3322E+00  0.0000E+00  1.1711E+00  0.0000E+00  1.0000E+00  9.5800E+00  8.1909E+00  0.0000E+00  0.0000E+00
  6.0000E+00  2.0000E+00  0.0000E+00  9.5100E+00  0.0000E+00  5.9019E+00  0.0000E+00  8.9867E-01  0.0000E+00  1.0000E+00  9.5100E+00  9.0575E+00  0.0000E+00  0.0000E+00
  6.0000E+00  4.0000E+00  0.0000E+00  4.9900E+00  0.0000E+00  3.7414E+00  0.0000E+00  4.9055E-01  0.0000E+00  1.0000E+00  4.9900E+00  5.7316E+00  0.0000E+00  0.0000E+00
  6.0000E+00  6.0000E+00  0.0000E+00  3.2100E+00  0.0000E+00  5.8598E+00  0.0000E+00 -6.6474E-01  0.0000E+00  1.0000E+00  3.2100E+00  8.9873E+00  0.0000E+00  0.0000E+00
  6.0000E+00  8.0000E+00  0.0000E+00  9.1800E+00  0.0000E+00  6.7519E+00  0.0000E+00  5.2864E-01  0.0000E+00  1.0000E+00  9.1800E+00  1.0353E+01  0.0000E+00  0.0000E+00
  6.0000E+00  1.2000E+01  0.0000E+00  3.8300E+00  0.0000E+00  3.0372E+00  0.0000E+00  3.8369E-01  0.0000E+00  1.0000E+00  3.8300E+00  4.6435E+00  0.0000E+00  0.0000E+00
  6.0000E+00  2.4000E+01  0.0000E+00  5.0000E-01  0.0000E+00  3.7127E-03  0.0000E+00  1.9635E+02  1.0000E+00  1.0000E+00  5.0000E-01  1.0000E+00  0.0000E+00  0.0000E+00
  7.0000E+00  0.0000E+00  2.3800E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  7.0000E+00  0.0000E+00  2.3800E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  7.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  7.0000E+00  2.5000E-01  0.0000E+00  2.7200E+00  0.0000E+00  3.5348E+00  0.0000E+00 -3.3883E-01  0.0000E+00  1.0000E+00  2.7200E+00  3.8953E+00  0.0000E+00  0.0000E+00
  7.0000E+00  5.0000E-01  0.0000E+00  3.0600E+00  0.0000E+00  5.6372E+00  0.0000E+00 -6.7205E-01  0.0000E+00  1.0000E+00  3.0600E+00  6.2151E+00  0.0000E+00  0.0000E+00
  7.0000E+00  1.0000E+00  0.0000E+00  5.3900E+00  0.0000E+00  8.1062E+00  0.0000E+00 -4.9257E-01  0.0000E+00  1.0000E+00  5.3900E+00  8.9424E+00  0.0000E+00  0.0000E+00
  7.0000E+00  2.0000E+00  0.0000E+00  2.4700E+01  0.0000E+00  8.9553E+00  0.0000E+00  2.5845E+00  0.0000E+00  1.0000E+00  2.4700E+01  9.8885E+00  0.0000E+00  0.0000E+00
  7.0000E+00  4.0000E+00  0.0000E+00  3.7600E+00  0.0000E+00  5.6565E+00  0.0000E+00 -4.9286E-01  0.0000E+00  1.0000E+00  3.7600E+00  6.2574E+00  0.0000E+00  0.0000E+00
  7.0000E+00  6.0000E+00  0.0000E+00  3.1900E+00  0.0000E+00  8.8803E+00  0.0000E+00 -9.4194E-01  0.0000E+00  1.0000E+00  3.1900E+00  9.8118E+00  0.0000E+00  0.0000E+00
  7.0000E+00  8.0000E+00  0.0000E+00  6.4300E+00  0.0000E+00  1.0227E+01  0.0000E+00 -5.4573E-01  0.0000E+00  1.0000E+00  6.4300E+00  1.1302E+01  0.0000E+00  0.0000E+00
  7.0000E+00  1.2000E+01  0.0000E+00  4.9200E+00  0.0000E+00  4.5733E+00  0.0000E+00  1.1143E-01  0.0000E+00  1.0000E+00  4.9200E+00  5.0695E+00  0.0000E+00  0.0000E+00
  7.0000E+00  2.4000E+01  0.0000E+00  5.0000E-01  0.0000E+00  5.3650E-03  0.0000E+00  1.3548E+02  1.0000E+00  1.0000E+00  5.0000E-01  1.0000E+00  0.0000E+00  0.0000E+00
  8.0000E+00  0.0000E+00  2.4400E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  8.0000E+00  0.0000E+00  2.4400E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  8.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  8.0000E+00  2.5000E-01  0.0000E+00  4.4400E+00  0.0000E+00  3.5900E+00  0.0000E+00  3.4806E-01  0.0000E+00  1.0000E+00  4.4400E+00  3.9935E+00  0.0000E+00  0.0000E+00
