"ID","TIME","AMT","DV","MDV","CMT","ADDL","II","SPECIES","SEX","MULTIPLE","DOSE","ROUTE","FORMULATION","TAD","BLQ","LIV"
19,2,.,6.271,0,2,.,.,3,2,1,1000,1,1,2,0,0
19,4,.,1.468,0,2,.,.,3,2,1,1000,1,1,4,0,0
19,8,.,2.375,0,2,.,.,3,2,1,1000,1,1,8,0,0
19,24,.,.,1,2,.,.,3,2,1,1000,1,1,24,1,0
19,648.5,.,3.205,0,2,.,.,3,2,2,1000,1,1,0.5,0,0
19,649,.,2.653,0,2,.,.,3,2,2,1000,1,1,1,0,0
19,650,.,2.537,0,2,.,.,3,2,2,1000,1,1,2,0,0
19,652,.,1.389,0,2,.,.,3,2,2,1000,1,1,4,0,0
19,656,.,.,1,2,.,.,3,2,2,1000,1,1,8,1,0
19,672,.,.,1,2,.,.,3,2,2,1000,1,1,24,1,0
20,0,1e+06,.,1,1,27,24,3,2,2,1000,1,1,0,0,0
20,0.5,.,9.04,0,2,.,.,3,2,1,1000,1,1,0.5,0,0
20,1,.,8.549,0,2,.,.,3,2,1,1000,1,1,1,0,0
20,2,.,4.391,0,2,.,.,3,2,1,1000,1,1,2,0,0
20,4,.,2.017,0,2,.,.,3,2,1,1000,1,1,4,0,0
20,8,.,1.056,0,2,.,.,3,2,1,1000,1,1,8,0,0
20,24,.,.,1,2,.,.,3,2,1,1000,1,1,24,1,0
20,648.5,.,5.673,0,2,.,.,3,2,2,1000,1,1,0.5,0,0
20,649,.,6.236,0,2,.,.,3,2,2,1000,1,1,1,0,0
20,650,.,4.622,0,2,.,.,3,2,2,1000,1,1,2,0,0
20,652,.,2.933,0,2,.,.,3,2,2,1000,1,1,4,0,0
20,656,.,7.242,0,2,.,.,3,2,2,1000,1,1,8,0,0
20,672,.,2.129,0,2,.,.,3,2,2,1000,1,1,24,0,0
21,0,1e+06,.,1,1,27,24,3,2,2,1000,1,1,0,0,0
21,0.5,.,2.417,0,2,.,.,3,2,1,1000,1,1,0.5,0,0
21,1,.,3.69,0,2,.,.,3,2,1,1000,1,1,1,0,0
21,2,.,3.879,0,2,.,.,3,2,1,1000,1,1,2,0,0
21,4,.,.,1,2,.,.,3,2,1,1000,1,1,4,1,0
21,8,.,2.356,0,2,.,.,3,2,1,1000,1,1,8,0,0
21,24,.,2.822,0,2,.,.,3,2,1,1000,1,1,24,0,0
21,648.5,.,6.753,0,2,.,.,3,2,2,1000,1,1,0.5,0,0
21,649,.,5.756,0,2,.,.,3,2,2,1000,1,1,1,0,0
21,650,.,6.638,0,2,.,.,3,2,2,1000,1,1,2,0,0
21,652,.,3.484,0,2,.,.,3,2,2,1000,1,1,4,0,0
21,656,.,6.089,0,2,.,.,3,2,2,1000,1,1,8,0,0
21,672,.,1.499,0,2,.,.,3,2,2,1000,1,1,24,0,0
22,0,1e+06,.,1,1,27,24,3,2,2,1000,1,1,0,0,0
22,0.5,.,6.356,0,2,.,.,3,2,1,1000,1,1,0.5,0,0
22,1,.,4.926,0,2,.,.,3,2,1,1000,1,1,1,0,0
22,2,.,3.524,0,2,.,.,3,2,1,1000,1,1,2,0,0
22,4,.,1.916,0,2,.,.,3,2,1,1000,1,1,4,0,0
22,8,.,2.416,0,2,.,.,3,2,1,1000,1,1,8,0,0
22,24,.,1.172,0,2,.,.,3,2,1,1000,1,1,24,0,0
22,648.5,.,4.63,0,2,.,.,3,2,2,1000,1,1,0.5,0,0
22,649,.,2.976,0,2,.,.,3,2,2,1000,1,1,1,0,0
22,650,.,3.317,0,2,.,.,3,2,2,1000,1,1,2,0,0
22,652,.,1.563,0,2,.,.,3,2,2,1000,1,1,4,0,0
22,656,.,4.125,0,2,.,.,3,2,2,1000,1,1,8,0,0
22,672,.,1.369,0,2,.,.,3,2,2,1000,1,1,24,0,0
