"","CONDITION","ID","TIME","DV","YTYPE","TAD","MDV","AMT","RATE","ADDL","II","SPECIES","DOSE","ROUTE","FORMULATION","BQL","WT","LVW","CMT2","IXGDF","USUBJID","EVID","CENS","ADM","TINF","TIMEPOS"
"159","69",69,0.017,10783.4,1,0.017,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,159,"SJ64",0,0,NA,0,0.017
"160","70",70,0,NA,NA,0.083,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,160,"SJ65",1,0,0,0,0
"161","70",70,0.083,1942.4,1,0.083,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,161,"SJ65",0,0,NA,0,0.083
"162","71",71,0,NA,NA,0.083,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,162,"SJ66",1,0,0,0,0
"163","71",71,0.083,1919.4,1,0.083,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,163,"SJ66",0,0,NA,0,0.083
"164","72",72,0,NA,NA,0.083,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,164,"SJ67",1,0,0,0,0
"165","72",72,0.083,1731.5,1,0.083,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,165,"SJ67",0,0,NA,0,0.083
"166","73",73,0,NA,NA,0.25,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,166,"SJ68",1,0,0,0,0
"167","73",73,0.25,211.7,1,0.25,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,167,"SJ68",0,0,NA,0,0.25
"168","74",74,0,NA,NA,0.25,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,168,"SJ69",1,0,0,0,0
"169","74",74,0.25,308.5,1,0.25,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,169,"SJ69",0,0,NA,0,0.25
"170","75",75,0,NA,NA,0.25,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,170,"SJ70",1,0,0,0,0
"171","75",75,0.25,304.6,1,0.25,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,171,"SJ70",0,0,NA,0,0.25
"172","76",76,0,NA,NA,0.5,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,172,"SJ71",1,0,0,0,0
"173","76",76,0.5,71.7,1,0.5,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,173,"SJ71",0,0,NA,0,0.5
"174","77",77,0,NA,NA,0.5,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,174,"SJ72",1,0,0,0,0
"175","77",77,0.5,169.5,1,0.5,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,175,"SJ72",0,0,NA,0,0.5
"176","78",78,0,NA,NA,0.5,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,176,"SJ73",1,0,0,0,0
"177","78",78,0.5,192.5,1,0.5,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,177,"SJ73",0,0,NA,0,0.5
"178","79",79,0,NA,NA,1,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,178,"SJ74",1,0,0,0,0
"179","79",79,1,309.4,1,1,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,179,"SJ74",0,0,NA,0,1
"180","80",80,0,NA,NA,1,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,180,"SJ75",1,0,0,0,0
"181","80",80,1,72.4,1,1,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,181,"SJ75",0,0,NA,0,1
"182","81",81,0,NA,NA,1,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,182,"SJ76",1,0,0,0,0
"183","81",81,1,17.6,1,1,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,183,"SJ76",0,0,NA,0,1
"184","82",82,0,NA,NA,2,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,184,"SJ77",1,0,0,0,0
"185","82",82,2,4.5,1,2,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,185,"SJ77",0,0,NA,0,2
"186","83",83,0,NA,NA,2,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,186,"SJ78",1,0,0,0,0
"187","83",83,2,4.5,1,2,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,187,"SJ78",0,0,NA,0,2
"188","84",84,0,NA,NA,2,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,188,"SJ79",1,0,0,0,0
"189","84",84,2,9.8,1,2,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,189,"SJ79",0,0,NA,0,2
"190","85",85,0,NA,NA,4,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,190,"SJ80",1,0,0,0,0
"191","85",85,4,5.4,1,4,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,191,"SJ80",0,0,NA,0,4
"192","86",86,0,NA,NA,4,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,192,"SJ81",1,0,0,0,0
"193","86",86,4,0.2,1,4,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,193,"SJ81",0,0,NA,0,4
"194","87",87,0,NA,NA,4,1,280000,NA,0,0,1,10,1,1,0,28,1.4,2,194,"SJ82",1,0,0,0,0
"195","87",87,4,13.6,1,4,0,NA,NA,0,0,1,10,1,1,0,28,1.4,2,195,"SJ82",0,0,NA,0,4
