"","CONDITION","ID","TIME","DV","YTYPE","TAD","MDV","EVID","CENS","AMT","ADM","RATE","ADDL","II","TIMEUNIT","NAME","SPECIES","SEX","MULTIPLE","DOSE","ROUTE","FORMULATION","LIV","IXGDF","USUBJID","TINF","TIMEPOS"
"63","8",8,0.25,8.926,1,0.25,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,63,"SJ8",0,0.25
"64","8",8,0.5,5.0826,1,0.5,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,64,"SJ8",0,0.5
"65","8",8,0.75,4.2234,1,0.75,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,65,"SJ8",0,0.75
"66","8",8,1,2.6891,1,1,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,66,"SJ8",0,1
"67","8",8,2,0.8528,1,2,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,67,"SJ8",0,2
"68","8",8,4,1.5871,1,4,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,68,"SJ8",0,4
"69","8",8,8,1.3353,1,8,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,69,"SJ8",0,8
"70","9",9,0,NA,NA,0,1,1,0,10000,2,NA,0,0,"HOURS","INPUT2",2,1,1,10,1,1,0,70,"SJ9",0,0
"71","9",9,0,0,1,0,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,71,"SJ9",0,0
"72","9",9,0.25,4.601,1,0.25,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,72,"SJ9",0,0.25
"73","9",9,0.5,4.1105,1,0.5,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,73,"SJ9",0,0.5
"74","9",9,0.75,4.0384,1,0.75,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,74,"SJ9",0,0.75
"75","9",9,1,4.8499,1,1,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,75,"SJ9",0,1
"76","9",9,2,2.7472,1,2,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,76,"SJ9",0,2
"77","9",9,4,2.1499,1,4,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,77,"SJ9",0,4
"78","9",9,8,1.6128,1,8,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,10,1,1,0,78,"SJ9",0,8
"79","10",10,0,NA,NA,0,1,1,0,25000,2,NA,0,0,"HOURS","INPUT2",2,1,1,25,1,1,0,79,"SJ10",0,0
"80","10",10,0,0,1,0,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,80,"SJ10",0,0
"81","10",10,0.25,8.2588,1,0.25,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,81,"SJ10",0,0.25
"82","10",10,0.5,8.7963,1,0.5,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,82,"SJ10",0,0.5
"83","10",10,0.75,8.6617,1,0.75,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,83,"SJ10",0,0.75
"84","10",10,1,5.0644,1,1,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,84,"SJ10",0,1
"85","10",10,2,2.4789,1,2,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,85,"SJ10",0,2
"86","10",10,4,3.6572,1,4,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,86,"SJ10",0,4
"87","10",10,8,3.1282,1,8,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,87,"SJ10",0,8
"88","11",11,0,NA,NA,0,1,1,0,25000,2,NA,0,0,"HOURS","INPUT2",2,1,1,25,1,1,0,88,"SJ11",0,0
"89","11",11,0,0,1,0,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,89,"SJ11",0,0
"90","11",11,0.25,9.2289,1,0.25,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,90,"SJ11",0,0.25
"91","11",11,0.5,9.6901,1,0.5,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,91,"SJ11",0,0.5
"92","11",11,0.75,5.2486,1,0.75,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,92,"SJ11",0,0.75
"93","11",11,1,3.5084,1,1,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,93,"SJ11",0,1
"94","11",11,2,1.8254,1,2,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,94,"SJ11",0,2
"95","11",11,4,2.1519,1,4,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,95,"SJ11",0,4
"96","11",11,8,1.397,1,8,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,96,"SJ11",0,8
"97","12",12,0,NA,NA,0,1,1,0,25000,2,NA,0,0,"HOURS","INPUT2",2,1,1,25,1,1,0,97,"SJ12",0,0
"98","12",12,0,0,1,0,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,98,"SJ12",0,0
"99","12",12,0.25,7.5951,1,0.25,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,99,"SJ12",0,0.25
"100","12",12,0.5,7.3475,1,0.5,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,100,"SJ12",0,0.5
"101","12",12,0.75,6.39,1,0.75,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,101,"SJ12",0,0.75
"102","12",12,1,3.4005,1,1,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,102,"SJ12",0,1
"103","12",12,2,1.6606,1,2,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,103,"SJ12",0,2
"104","12",12,4,2.7451,1,4,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,104,"SJ12",0,4
"105","12",12,8,1.755,1,8,0,0,0,NA,NA,NA,0,0,"HOURS","OUTPUT1",2,1,1,25,1,1,0,105,"SJ12",0,8
