ID,TIME,AMT,DV,MDV,CMT,ADDL,II,SPECIES,DOSE,ROUTE,FORMULATION,TAD,BQL,WT,LVW,CMT2,RATE
71,0,280000,.,1,3,.,.,1,10,1,1,0.083,0,28,1.4,1,.
71,0.083,.,1919.4,0,3,.,.,1,10,1,1,0.083,0,28,1.4,1,.
72,0,280000,.,1,3,.,.,1,10,1,1,0.083,0,28,1.4,1,.
72,0.083,.,1731.5,0,3,.,.,1,10,1,1,0.083,0,28,1.4,1,.
73,0,280000,.,1,3,.,.,1,10,1,1,0.25,0,28,1.4,1,.
73,0.25,.,211.7,0,3,.,.,1,10,1,1,0.25,0,28,1.4,1,.
74,0,280000,.,1,3,.,.,1,10,1,1,0.25,0,28,1.4,1,.
74,0.25,.,308.5,0,3,.,.,1,10,1,1,0.25,0,28,1.4,1,.
75,0,280000,.,1,3,.,.,1,10,1,1,0.25,0,28,1.4,1,.
75,0.25,.,304.6,0,3,.,.,1,10,1,1,0.25,0,28,1.4,1,.
76,0,280000,.,1,3,.,.,1,10,1,1,0.5,0,28,1.4,1,.
76,0.5,.,71.7,0,3,.,.,1,10,1,1,0.5,0,28,1.4,1,.
77,0,280000,.,1,3,.,.,1,10,1,1,0.5,0,28,1.4,1,.
77,0.5,.,169.5,0,3,.,.,1,10,1,1,0.5,0,28,1.4,1,.
78,0,280000,.,1,3,.,.,1,10,1,1,0.5,0,28,1.4,1,.
78,0.5,.,192.5,0,3,.,.,1,10,1,1,0.5,0,28,1.4,1,.
79,0,280000,.,1,3,.,.,1,10,1,1,1,0,28,1.4,1,.
79,1,.,309.4,0,3,.,.,1,10,1,1,1,0,28,1.4,1,.
80,0,280000,.,1,3,.,.,1,10,1,1,1,0,28,1.4,1,.
80,1,.,72.4,0,3,.,.,1,10,1,1,1,0,28,1.4,1,.
81,0,280000,.,1,3,.,.,1,10,1,1,1,0,28,1.4,1,.
81,1,.,17.6,0,3,.,.,1,10,1,1,1,0,28,1.4,1,.
82,0,280000,.,1,3,.,.,1,10,1,1,2,0,28,1.4,1,.
82,2,.,4.5,0,3,.,.,1,10,1,1,2,0,28,1.4,1,.
83,0,280000,.,1,3,.,.,1,10,1,1,2,0,28,1.4,1,.
83,2,.,4.5,0,3,.,.,1,10,1,1,2,0,28,1.4,1,.
84,0,280000,.,1,3,.,.,1,10,1,1,2,0,28,1.4,1,.
84,2,.,9.8,0,3,.,.,1,10,1,1,2,0,28,1.4,1,.
85,0,280000,.,1,3,.,.,1,10,1,1,4,0,28,1.4,1,.
85,4,.,5.4,0,3,.,.,1,10,1,1,4,0,28,1.4,1,.
86,0,280000,.,1,3,.,.,1,10,1,1,4,0,28,1.4,1,.
